#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
k127_64582 flag=1 multi=107.0000 len=1565	72.7974	1565	0.6307	100.0000	1565	451	459	0.6125	80	33.86
k127_66623 flag=0 multi=94.0509 len=6083	56.0950	6083	0.6334	100.0000	6083	1309	1350	0.6145	54	21.47
k127_68297 flag=0 multi=188.7784 len=1210	65.8306	1210	0.6083	100.0000	1210	308	299	0.5861	65	19.40
k127_69888 flag=0 multi=389.3613 len=1306	81.4525	1306	0.6286	100.0000	1306	412	416	0.5957	82	23.71
k127_74921 flag=0 multi=87.0000 len=1455	13.3869	1455	0.6282	93.9519	1367	81	75	0.5771	12	8.14
k127_75626 flag=0 multi=45.8532 len=1081	78.9241	1081	0.6216	100.0000	1081	328	340	0.5968	73	26.25
k127_82521 flag=0 multi=114.3656 len=2917	57.6130	2917	0.6222	100.0000	2917	637	669	0.6056	56	20.36
k127_83136 flag=0 multi=125.5232 len=8092	48.9465	8092	0.6330	100.0000	8092	1544	1540	0.6069	49	13.57
k127_86049 flag=0 multi=145.0227 len=3823	66.5370	3823	0.6270	100.0000	3823	977	966	0.6015	64	23.06
k127_87480 flag=0 multi=119.1430 len=3086	76.9909	3086	0.6458	100.0000	3086	935	927	0.6155	80	26.04
k127_89023 flag=0 multi=74.1869 len=1224	76.6095	1224	0.6054	100.0000	1224	370	396	0.5827	79	17.30
k127_89589 flag=0 multi=101.5698 len=1803	80.4049	1803	0.5973	93.6217	1688	561	558	0.5841	93	35.73
k127_97303 flag=1 multi=118.0000 len=1944	73.4126	1944	0.6523	100.0000	1944	564	558	0.6348	73	22.57
k127_104024 flag=0 multi=109.2953 len=1187	112.3083	1187	0.6529	100.0000	1187	534	522	0.6234	121	28.19
k127_104244 flag=0 multi=89.0887 len=1649	28.7659	1649	0.6246	100.0000	1649	181	187	0.6018	29	10.36
k127_106586 flag=1 multi=98.0000 len=1220	43.0902	1220	0.6033	100.0000	1220	211	185	0.5820	39	21.55
k127_108207 flag=0 multi=60.0093 len=1090	78.9202	1090	0.6514	100.0000	1090	328	347	0.6244	80	14.84
k127_110765 flag=0 multi=138.3172 len=5512	85.4639	5512	0.6529	100.0000	5512	1913	1851	0.6306	97	43.57
k127_111384 flag=0 multi=148.3629 len=6760	98.3584	6760	0.6444	100.0000	6760	2569	2588	0.6197	98	21.52
k127_126814 flag=0 multi=100.2273 len=2666	63.0079	2666	0.6377	99.5874	2655	686	671	0.6140	66	21.37
k127_129961 flag=0 multi=159.0000 len=1092	81.3031	1092	0.6419	100.0000	1092	350	352	0.6219	80	15.80
k127_130744 flag=0 multi=102.9065 len=3635	44.3541	3635	0.6380	97.1389	3531	601	624	0.6220	40	30.94
k127_142440 flag=1 multi=117.1549 len=3723	75.8912	3723	0.6317	100.0000	3723	1117	1089	0.6045	78	24.76
k127_143562 flag=0 multi=150.0430 len=4731	74.0416	4731	0.6102	100.0000	4731	1223	1228	0.5806	68	29.74
k127_144406 flag=0 multi=130.0180 len=1237	71.1520	1237	0.5893	100.0000	1237	340	337	0.5841	71	35.01
k127_145390 flag=1 multi=73.7465 len=1855	24.9752	1855	0.5941	97.0350	1800	184	180	0.5753	23	18.93
k127_149150 flag=0 multi=67.0000 len=1753	73.8950	1753	0.6389	100.0000	1753	500	502	0.6199	75	30.13
k127_150136 flag=0 multi=70.2634 len=1038	79.7803	1038	0.6618	85.9345	892	308	349	0.6234	74	59.47
k127_157269 flag=0 multi=78.3211 len=1301	50.7479	1301	0.6042	99.7694	1298	244	276	0.5980	56	30.76
k127_160339 flag=1 multi=84.9103 len=1008	53.0268	1008	0.6022	100.0000	1008	199	197	0.5862	60	31.37
k127_166973 flag=1 multi=105.0000 len=1188	45.7197	1188	0.6263	100.0000	1188	210	223	0.6110	50	26.17
k127_171090 flag=0 multi=80.6583 len=9046	39.1606	9046	0.6145	100.0000	9046	1372	1367	0.6012	36	28.08
k127_176131 flag=0 multi=131.3772 len=1792	71.6942	1792	0.6116	100.0000	1792	499	503	0.5894	67	25.52
k127_180550 flag=1 multi=137.2748 len=2951	42.1796	2951	0.6344	100.0000	2951	503	497	0.6224	36	21.91
k127_182661 flag=0 multi=97.0944 len=2754	78.7295	2754	0.6184	100.0000	2754	844	846	0.5937	84	25.19
k127_184176 flag=1 multi=167.0000 len=1165	70.2730	1165	0.6386	100.0000	1165	330	319	0.6213	69	19.32
k127_189940 flag=1 multi=54.3094 len=1378	53.2678	1378	0.6197	100.0000	1378	289	284	0.5957	57	15.82
k127_191292 flag=1 multi=84.0000 len=1821	83.6634	1821	0.6178	100.0000	1821	605	613	0.6227	70	80.06
k127_195295 flag=1 multi=124.4884 len=3014	60.2883	3014	0.6009	100.0000	3014	715	702	0.5817	62	15.67
k127_197537 flag=0 multi=156.6007 len=1552	86.3466	1552	0.6289	100.0000	1552	512	518	0.6072	80	32.97
k127_199316 flag=0 multi=86.9284 len=2656	69.2380	2656	0.6461	100.0000	2656	709	728	0.6231	70	16.87
k127_209029 flag=0 multi=113.3507 len=1878	58.5245	1878	0.6070	100.0000	1878	406	418	0.5880	60	12.32
k127_209430 flag=0 multi=126.8617 len=1963	72.5660	1963	0.6490	100.0000	1963	575	559	0.6212	73	17.55
k127_217725 flag=1 multi=156.7216 len=3335	59.3823	3335	0.6042	100.0000	3335	768	759	0.5858	63	24.70
k127_223065 flag=0 multi=173.3590 len=7570	88.0370	7570	0.6347	100.0000	7570	2568	2572	0.6108	84	34.60
k127_224832 flag=0 multi=76.8761 len=4357	60.8421	4357	0.6224	100.0000	4357	1043	1028	0.5975	59	32.01
k127_225526 flag=0 multi=82.5041 len=2910	80.3790	2910	0.6395	100.0000	2910	938	942	0.6144	77	27.64
k127_232734 flag=0 multi=101.1261 len=2633	68.2100	2633	0.6510	100.0000	2633	719	704	0.6245	66	20.44
k127_243820 flag=1 multi=143.5427 len=4378	49.7739	4378	0.5861	100.0000	4378	846	850	0.5777	41	29.20
k127_243889 flag=1 multi=90.5390 len=1717	61.0396	1717	0.6220	98.7769	1696	396	397	0.6060	71	34.92
k127_254421 flag=0 multi=107.1701 len=1373	8.8259	1373	0.6264	86.8172	1192	52	46	0.5928	9	5.66
k127_255799 flag=1 multi=62.0000 len=1052	47.9534	1052	0.5998	100.0000	1052	200	196	0.5833	45	16.24
k127_262140 flag=1 multi=38.6742 len=1146	34.6414	1146	0.6230	100.0000	1146	160	159	0.6027	37	12.00
k127_267785 flag=0 multi=55.9258 len=1649	80.3596	1649	0.6313	100.0000	1649	529	516	0.6191	80	36.82
k127_268343 flag=1 multi=83.1813 len=1616	26.5056	1616	0.6281	100.0000	1616	174	175	0.6131	22	14.90
k127_277340 flag=1 multi=149.9981 len=1207	39.2999	1207	0.6321	100.0000	1207	187	191	0.6061	38	14.89
k127_278673 flag=0 multi=154.9746 len=3232	24.6389	3232	0.6247	100.0000	3232	310	305	0.5968	12	21.73
k127_284816 flag=1 multi=92.4289 len=4799	81.4161	4799	0.6278	100.0000	4799	1532	1499	0.6095	84	23.03
k127_290245 flag=1 multi=73.1175 len=1582	42.1283	1582	0.6340	100.0000	1582	258	263	0.6105	45	18.32
k127_290989 flag=0 multi=150.8281 len=1890	67.6026	1890	0.6254	100.0000	1890	489	508	0.5930	62	28.66
k127_296243 flag=0 multi=73.3927 len=1171	75.6149	1171	0.6447	100.0000	1171	348	344	0.6206	75	21.97
k127_301392 flag=0 multi=129.4402 len=1456	46.5412	1456	0.6250	100.0000	1456	259	263	0.6003	37	25.06
k127_306749 flag=0 multi=81.1765 len=1079	117.1196	1079	0.6358	100.0000	1079	490	492	0.6202	117	23.93
k127_308454 flag=1 multi=83.6336 len=8079	61.2857	8079	0.6019	100.0000	8079	1883	1893	0.6066	53	30.23
k127_318657 flag=0 multi=80.2152 len=1986	97.5363	1986	0.6344	100.0000	1986	750	758	0.6082	96	26.15
k127_328552 flag=0 multi=102.8510 len=8227	45.0085	8227	0.6000	100.0000	8227	1449	1442	0.5736	37	27.16
k127_330347 flag=0 multi=146.0000 len=3227	79.8822	3227	0.6601	100.0000	3227	1026	993	0.6396	82	25.53
k127_331419 flag=0 multi=130.0000 len=1246	77.8098	1246	0.6461	100.0000	1246	382	392	0.6035	62	55.68
k127_340999 flag=0 multi=106.0823 len=1985	44.4000	1985	0.6060	80.7053	1602	362	341	0.5965	54	33.81
k127_358058 flag=0 multi=190.3101 len=3339	63.8583	3339	0.6235	96.5259	3223	832	851	0.6031	67	28.24
k127_370837 flag=0 multi=135.5851 len=2202	72.8020	2202	0.5908	100.0000	2202	616	614	0.5686	72	20.55
k127_372549 flag=0 multi=108.0000 len=1406	70.7610	1406	0.6152	100.0000	1406	388	384	0.5931	65	26.00
k127_375641 flag=0 multi=129.4392 len=3649	60.8378	3649	0.6081	100.0000	3649	866	879	0.5850	56	23.73
k127_379593 flag=0 multi=104.2115 len=1763	70.1923	1763	0.6381	100.0000	1763	491	504	0.6154	67	20.84
k127_381964 flag=0 multi=109.1009 len=2010	81.7891	2010	0.6070	100.0000	2010	636	624	0.5881	84	29.77
k127_383275 flag=0 multi=142.5800 len=2034	70.5570	2034	0.6042	100.0000	2034	551	547	0.5884	68	20.32
k127_383706 flag=0 multi=114.3017 len=1002	81.5200	1002	0.5998	100.0000	1002	329	329	0.5807	91	27.18
k127_386841 flag=0 multi=250.1407 len=1968	55.2134	1968	0.6362	98.2724	1934	435	439	0.6184	64	30.71
k127_389746 flag=0 multi=172.0000 len=1180	9.3381	1180	0.6169	100.0000	1180	48	43	0.5912	8	6.16
k127_408798 flag=1 multi=242.6688 len=2310	64.5554	2310	0.6104	93.6364	2163	557	572	0.6076	79	40.41
k127_422979 flag=0 multi=114.0316 len=2845	91.4671	2845	0.6095	100.0000	2845	1001	960	0.5860	94	28.33
k127_430725 flag=0 multi=132.2573 len=1779	69.0433	1779	0.6318	100.0000	1779	486	482	0.6128	69	19.71
k127_431591 flag=0 multi=188.3080 len=4634	76.2082	4634	0.6437	98.7484	4576	1383	1360	0.6247	80	29.09
k127_437131 flag=0 multi=131.3791 len=2026	65.8026	2026	0.6471	100.0000	2026	540	526	0.6237	64	21.32
k127_439171 flag=0 multi=76.0000 len=2423	56.3772	2423	0.6335	100.0000	2423	534	527	0.6112	57	16.57
k127_447155 flag=0 multi=106.0654 len=1687	77.7919	1687	0.6135	100.0000	1687	523	525	0.6061	87	47.26
k127_448827 flag=0 multi=172.1346 len=1791	62.3680	1791	0.6505	100.0000	1791	459	432	0.6261	63	17.65
k127_451056 flag=0 multi=118.8752 len=3678	85.9557	3678	0.6286	100.0000	3678	1255	1241	0.5996	77	37.90
k127_458364 flag=0 multi=85.0521 len=1893	73.4274	1893	0.6265	100.0000	1893	533	537	0.6048	80	23.33
k127_459623 flag=0 multi=73.8756 len=1132	70.2164	1132	0.6237	100.0000	1132	315	297	0.6033	64	25.53
k127_463867 flag=0 multi=148.0000 len=1347	86.1886	1347	0.6273	100.0000	1347	460	472	0.6082	92	27.37
k127_464873 flag=1 multi=127.0000 len=1650	76.4400	1650	0.6067	100.0000	1650	435	455	0.5946	74	20.59
k127_468105 flag=0 multi=127.7966 len=4159	65.8620	4159	0.6487	100.0000	4159	1089	1078	0.6219	62	22.31
k127_474725 flag=0 multi=90.1748 len=1878	63.7258	1878	0.6187	100.0000	1878	482	466	0.6051	67	30.03
k127_491673 flag=0 multi=81.9377 len=2761	75.0290	2761	0.6360	100.0000	2761	841	792	0.6213	77	15.66
k127_493254 flag=1 multi=135.6010 len=1771	89.7081	1771	0.6228	100.0000	1771	618	624	0.6004	88	22.56
k127_493399 flag=0 multi=101.0675 len=1638	52.3346	1638	0.6325	100.0000	1638	338	344	0.5975	39	38.16
k127_498339 flag=0 multi=161.8777 len=2867	56.9281	2867	0.6191	100.0000	2867	654	604	0.6109	55	28.17
k127_498603 flag=1 multi=162.6302 len=2201	76.0759	2201	0.6025	99.6820	2194	638	637	0.5972	69	35.02
k127_499225 flag=0 multi=177.7025 len=2134	83.6851	2134	0.6082	100.0000	2134	706	738	0.5797	74	44.79
k127_505161 flag=0 multi=54.4991 len=1269	49.1489	1269	0.6162	100.0000	1269	239	225	0.5960	40	24.84
k127_507642 flag=0 multi=147.3194 len=2801	78.4577	2801	0.6366	100.0000	2801	855	864	0.6177	78	24.66
k127_520242 flag=0 multi=121.6626 len=12834	51.0815	12834	0.6209	100.0000	12834	2571	2546	0.6003	46	27.93
k127_527506 flag=0 multi=47.8213 len=1134	59.9436	1134	0.6120	100.0000	1134	279	237	0.5950	62	19.49
k127_545920 flag=0 multi=115.0952 len=1450	63.6524	1450	0.6462	100.0000	1450	358	370	0.6128	66	24.08
k127_546650 flag=0 multi=99.1467 len=1988	69.4829	1988	0.6258	96.5795	1920	537	530	0.5913	71	34.61
k127_546799 flag=0 multi=112.1807 len=2429	69.4088	2429	0.6196	100.0000	2429	673	678	0.5936	73	24.43
k127_548092 flag=0 multi=123.4547 len=2700	65.6370	2700	0.6493	100.0000	2700	720	708	0.6295	68	22.60
k127_550096 flag=1 multi=139.9753 len=2233	68.6453	2233	0.6220	100.0000	2233	616	618	0.6034	67	18.45
k127_554637 flag=0 multi=86.0337 len=3277	60.3900	3277	0.5886	100.0000	3277	761	767	0.5756	60	28.82
k127_554682 flag=1 multi=35.0000 len=1181	70.2227	1181	0.6190	100.0000	1181	332	304	0.6096	69	20.43
k127_556328 flag=0 multi=59.0586 len=1117	32.5730	1117	0.6007	100.0000	1117	133	172	0.5669	30	11.10
k127_557350 flag=0 multi=93.6044 len=3517	75.0028	3517	0.6352	100.0000	3517	1020	1013	0.6145	78	19.86
k127_558723 flag=0 multi=102.0000 len=2147	53.4388	2147	0.6171	100.0000	2147	450	444	0.5992	54	23.74
k127_562292 flag=1 multi=43.2975 len=2399	69.6119	2399	0.6311	100.0000	2399	626	636	0.6087	69	25.54
k127_567670 flag=0 multi=91.1913 len=2244	74.7357	2244	0.6381	100.0000	2244	641	639	0.6134	74	18.25
k127_570572 flag=1 multi=91.8822 len=1630	110.2472	1630	0.6442	100.0000	1630	694	705	0.6183	84	83.55
k127_571981 flag=1 multi=50.0000 len=1320	35.0311	1320	0.6242	100.0000	1320	174	180	0.5914	36	18.64
k127_576926 flag=0 multi=126.8208 len=2549	72.5708	2549	0.6269	100.0000	2549	745	725	0.6035	73	31.41
k127_582994 flag=1 multi=322.3905 len=1538	144.4090	1538	0.6365	100.0000	1538	854	788	0.6137	144	54.38
k127_587325 flag=0 multi=143.4811 len=1900	80.5684	1900	0.6400	100.0000	1900	597	583	0.6202	83	25.93
k127_590107 flag=1 multi=56.6034 len=1877	69.6857	1877	0.6004	100.0000	1877	527	500	0.5898	69	21.98
k127_595386 flag=1 multi=54.0000 len=1772	69.1168	1772	0.6163	100.0000	1772	480	454	0.5941	74	25.16
k127_595897 flag=0 multi=118.2534 len=5269	56.7658	5269	0.6138	100.0000	5269	1144	1148	0.5926	52	30.32
k127_598342 flag=1 multi=84.0000 len=1344	66.2262	1344	0.6109	100.0000	1344	349	343	0.5927	66	23.47
k127_605584 flag=1 multi=64.5312 len=2674	53.9570	2674	0.6215	100.0000	2674	588	564	0.6002	54	15.83
k127_606138 flag=0 multi=137.9388 len=3021	92.2757	3021	0.6273	100.0000	3021	1093	1097	0.6030	89	33.96
k127_618504 flag=0 multi=46.9891 len=1047	92.1442	1047	0.6170	100.0000	1047	389	369	0.5912	81	39.71
k127_619229 flag=0 multi=245.9861 len=3072	61.2835	3072	0.6191	100.0000	3072	711	706	0.6005	58	21.70
k127_621679 flag=0 multi=144.2826 len=1546	3.8739	1546	0.6248	91.3325	1412	25	22	0.5975	4	2.45
k127_623704 flag=0 multi=96.4974 len=2650	89.8800	2650	0.6468	100.0000	2650	940	925	0.6298	80	40.22
k127_624424 flag=0 multi=95.3074 len=7592	44.7595	7592	0.6071	100.0000	7592	1313	1327	0.5972	33	27.03
k127_624673 flag=0 multi=88.0000 len=2879	0.1629	2879	0.6190	13.3727	385	3	2	0.6018	0	0.44
k127_624992 flag=1 multi=61.2700 len=1349	81.3832	1349	0.6197	100.0000	1349	436	405	0.5974	79	25.40
k127_626011 flag=1 multi=120.0000 len=2141	78.5768	2141	0.6193	100.0000	2141	664	684	0.6096	75	28.56
k127_626983 flag=0 multi=74.0000 len=1953	92.9703	1953	0.5960	100.0000	1953	692	707	0.5875	91	30.95
k127_627275 flag=0 multi=155.6082 len=2179	70.8642	2179	0.6306	100.0000	2179	612	616	0.6155	71	18.86
k127_627984 flag=0 multi=245.3894 len=1239	77.2131	1239	0.5989	100.0000	1239	377	382	0.5799	76	21.87
k127_632570 flag=0 multi=155.8008 len=1121	128.1070	1121	0.6307	100.0000	1121	567	561	0.6125	109	65.74
k127_636949 flag=0 multi=93.3787 len=1529	66.7652	1529	0.6449	100.0000	1529	424	415	0.6149	65	20.46
k127_645175 flag=0 multi=104.0754 len=1135	64.5269	1135	0.6123	100.0000	1135	291	283	0.5936	69	17.79
k127_655372 flag=0 multi=98.6041 len=4603	53.6187	4603	0.6027	100.0000	4603	949	951	0.5844	55	15.99
k127_658601 flag=0 multi=114.1360 len=1487	66.9220	1487	0.6261	100.0000	1487	409	379	0.6085	71	21.03
k127_661128 flag=1 multi=69.0000 len=2062	79.6571	2062	0.6183	100.0000	2062	633	639	0.6075	87	24.04
k127_670170 flag=0 multi=150.8704 len=2009	45.1608	2009	0.6103	100.0000	2009	348	348	0.5959	45	14.06
k127_675398 flag=0 multi=202.0000 len=1624	75.9557	1624	0.6299	100.0000	1624	497	476	0.6067	80	30.44
k127_679048 flag=0 multi=61.2318 len=3104	86.8805	3104	0.6360	100.0000	3104	1033	1022	0.6108	88	31.17
k127_680185 flag=0 multi=142.0916 len=1502	93.4947	1502	0.6298	100.0000	1502	548	563	0.6123	90	22.18
k127_680326 flag=0 multi=122.7651 len=1813	69.6211	1813	0.6354	100.0000	1813	474	481	0.6081	78	35.23
k127_680336 flag=0 multi=86.0227 len=1755	49.1818	1755	0.6319	100.0000	1755	332	343	0.6152	40	22.35
k127_681680 flag=0 multi=130.2593 len=1909	30.4688	1909	0.6338	100.0000	1909	240	233	0.6133	25	17.44
k127_682636 flag=0 multi=113.0793 len=1879	81.0319	1879	0.6658	100.0000	1879	596	613	0.6322	79	20.36
k127_687248 flag=0 multi=151.8479 len=1869	102.3232	1869	0.6351	100.0000	1869	739	752	0.6110	104	29.06
k127_688139 flag=0 multi=129.2726 len=1499	40.2108	1499	0.6231	100.0000	1499	250	250	0.6011	42	11.82
k127_690752 flag=1 multi=90.0823 len=3762	80.1247	3762	0.6358	100.0000	3762	1160	1186	0.6142	80	26.30
k127_690922 flag=1 multi=138.9709 len=4690	72.2228	4690	0.6412	100.0000	4690	1300	1325	0.6125	70	25.49
k127_691799 flag=0 multi=117.2523 len=1903	57.3668	1903	0.6201	100.0000	1903	424	423	0.5825	45	54.18
k127_693114 flag=0 multi=93.0000 len=1687	81.1523	1687	0.6402	100.0000	1687	553	546	0.6194	77	25.17
k127_693300 flag=0 multi=85.9147 len=1780	71.1287	1780	0.6719	100.0000	1780	520	503	0.6420	68	18.42
k127_695021 flag=0 multi=183.1443 len=1132	83.5009	1132	0.6078	100.0000	1132	366	368	0.5763	92	30.48
k127_700657 flag=0 multi=63.7385 len=1668	59.3004	1668	0.6271	100.0000	1668	386	386	0.6115	62	22.08
k127_702677 flag=0 multi=146.3145 len=3402	76.5009	3402	0.6158	96.7960	3293	985	991	0.5946	82	25.06
k127_703791 flag=0 multi=182.4812 len=1563	84.4210	1563	0.6488	100.0000	1563	515	516	0.6234	87	18.43
k127_703895 flag=0 multi=96.4124 len=1725	91.9183	1725	0.6249	100.0000	1725	609	641	0.6010	95	36.98
k127_710865 flag=0 multi=123.1162 len=5806	70.7835	5806	0.5863	100.0000	5806	1613	1604	0.5630	73	22.49
k127_717730 flag=0 multi=117.5476 len=1639	78.2965	1639	0.6229	100.0000	1639	503	488	0.5992	85	28.73
k127_725430 flag=0 multi=132.2089 len=1223	48.3925	1223	0.6312	100.0000	1223	232	244	0.6112	50	19.14
k127_726202 flag=0 multi=180.1564 len=4008	73.9094	4008	0.5863	100.0000	4008	1164	1149	0.5756	75	26.50
k127_726326 flag=0 multi=113.7874 len=3519	94.1830	3519	0.6232	100.0000	3519	1336	1325	0.6067	79	45.60
k127_728692 flag=0 multi=92.0000 len=2000	64.6580	2000	0.6245	100.0000	2000	490	500	0.6021	65	23.35
k127_732182 flag=1 multi=61.0000 len=1117	82.9561	1117	0.6186	100.0000	1117	404	333	0.6059	85	15.19
k127_736515 flag=0 multi=78.9971 len=2227	59.8496	2227	0.6111	94.3871	2102	537	533	0.6021	61	31.36
k127_738481 flag=0 multi=141.2542 len=1327	66.9367	1327	0.6270	100.0000	1327	344	360	0.6115	64	33.62
k127_740742 flag=1 multi=42.6028 len=1562	70.1601	1562	0.6504	100.0000	1562	438	407	0.6237	70	25.99
k127_752663 flag=0 multi=74.6525 len=1563	104.9994	1563	0.6353	100.0000	1563	654	654	0.6185	112	23.28
k127_755694 flag=0 multi=134.7109 len=3126	81.4779	3126	0.6497	100.0000	3126	1010	1002	0.6231	80	33.28
k127_756667 flag=0 multi=149.2286 len=5136	80.5047	5136	0.6526	100.0000	5136	1664	1679	0.6296	73	30.25
k127_760330 flag=1 multi=111.0483 len=3872	73.3753	3872	0.6317	100.0000	3872	1093	1098	0.6140	79	24.61
k127_766884 flag=0 multi=118.4358 len=2199	29.6962	2199	0.6303	100.0000	2199	262	249	0.6052	30	11.31
k127_770583 flag=0 multi=90.2646 len=30194	30.3768	30194	0.5944	100.0000	30194	3501	3462	0.5710	29	11.90
k127_773955 flag=1 multi=78.0000 len=1978	57.5774	1978	0.6325	100.0000	1978	431	437	0.6158	46	31.88
k127_775542 flag=0 multi=125.0000 len=1249	86.4195	1249	0.6277	100.0000	1249	423	411	0.6125	94	40.42
k127_776270 flag=0 multi=109.0000 len=2847	64.2585	2847	0.6298	100.0000	2847	708	717	0.6055	66	15.87
k127_776833 flag=0 multi=76.0239 len=2639	79.0837	2639	0.6430	100.0000	2639	822	824	0.6154	77	17.09
k127_778601 flag=1 multi=233.7331 len=3139	63.9529	3139	0.6505	100.0000	3139	834	782	0.6303	61	25.80
k127_779227 flag=0 multi=181.8630 len=3615	63.6858	3615	0.5895	100.0000	3615	887	866	0.5737	50	32.44
k127_783063 flag=0 multi=88.8195 len=1844	76.2446	1844	0.6285	100.0000	1844	567	552	0.6083	75	20.05
k127_793245 flag=0 multi=198.5563 len=2577	69.2926	2577	0.6585	100.0000	2577	717	729	0.6300	72	21.17
k127_801939 flag=0 multi=70.0000 len=1102	2.8194	1102	0.6325	74.0472	816	14	10	0.5891	2	3.09
k127_804089 flag=0 multi=103.1815 len=2111	75.9209	2111	0.6258	100.0000	2111	634	618	0.6148	76	26.60
k127_805660 flag=0 multi=214.1163 len=1296	73.7677	1296	0.6250	100.0000	1296	380	376	0.5986	76	20.70
k127_808133 flag=1 multi=66.0719 len=2311	51.8031	2311	0.6274	100.0000	2311	458	464	0.6157	50	17.29
k127_808381 flag=0 multi=121.7470 len=1965	76.3893	1965	0.6132	100.0000	1965	597	578	0.5941	75	22.25
k127_821570 flag=0 multi=94.0671 len=2988	60.5184	2988	0.6091	100.0000	2988	696	713	0.5825	60	25.59
k127_826612 flag=0 multi=247.8138 len=1083	64.3204	1083	0.6574	100.0000	1083	282	293	0.6262	64	27.05
k127_839864 flag=0 multi=110.5501 len=1405	85.6584	1405	0.6619	100.0000	1405	482	470	0.6384	97	32.04
k127_841564 flag=0 multi=150.3268 len=1813	86.0254	1813	0.6580	100.0000	1813	610	620	0.6256	91	25.58
k127_842468 flag=0 multi=79.0416 len=1065	79.4648	1065	0.6272	100.0000	1065	344	319	0.6043	73	25.86
k127_851272 flag=0 multi=103.0769 len=1220	64.2443	1220	0.5918	100.0000	1220	322	315	0.5708	64	13.28
k127_867617 flag=0 multi=89.0000 len=1580	41.6304	1580	0.6241	100.0000	1580	260	261	0.6027	48	23.73
k127_870897 flag=1 multi=165.9814 len=3079	69.9506	3079	0.6155	93.6018	2882	828	855	0.6016	76	33.29
k127_872325 flag=0 multi=69.2259 len=1393	92.7810	1393	0.6195	100.0000	1393	522	523	0.6060	90	24.17
k127_876991 flag=0 multi=112.9758 len=1203	78.1629	1203	0.6251	100.0000	1203	387	366	0.6117	76	35.44
k127_880786 flag=0 multi=144.8940 len=2014	47.0283	2014	0.6177	100.0000	2014	392	381	0.6012	47	18.18
k127_882255 flag=1 multi=96.0616 len=5776	71.6702	5776	0.6352	100.0000	5776	1617	1579	0.6036	69	27.85
k127_896853 flag=0 multi=121.0000 len=1455	68.0041	1455	0.6096	100.0000	1455	395	392	0.5774	64	30.50
k127_921784 flag=0 multi=126.2046 len=3534	74.7991	3534	0.6537	100.0000	3534	1032	1039	0.6236	72	21.19
k127_924272 flag=1 multi=112.4444 len=1837	59.3038	1837	0.6173	100.0000	1837	430	411	0.5971	48	33.92
k127_926052 flag=0 multi=98.5162 len=2529	72.6619	2529	0.6354	100.0000	2529	727	734	0.6154	76	27.08
k127_928270 flag=1 multi=107.5856 len=4234	55.5985	4234	0.6287	100.0000	4234	917	941	0.6009	57	29.92
k127_929098 flag=0 multi=321.2071 len=3101	91.7575	3101	0.5940	100.0000	3101	1160	1171	0.5693	87	61.16
