#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
k127_89589 flag=0 multi=101.5698 len=1803	51.8880	1803	0.5973	94.6201	1706	355	366	0.5889	58	22.93
k127_97303 flag=1 multi=118.0000 len=1944	48.6265	1944	0.6523	100.0000	1944	370	377	0.6452	45	16.98
k127_104024 flag=0 multi=109.2953 len=1187	71.3816	1187	0.6529	100.0000	1187	352	334	0.6244	72	21.33
k127_104244 flag=0 multi=89.0887 len=1649	31.1310	1649	0.6246	100.0000	1649	188	202	0.6111	31	11.51
k127_106586 flag=1 multi=98.0000 len=1220	36.1631	1220	0.6033	100.0000	1220	185	153	0.5862	37	14.77
k127_108207 flag=0 multi=60.0093 len=1090	58.5294	1090	0.6514	100.0000	1090	243	269	0.6342	56	15.60
k127_110765 flag=0 multi=138.3172 len=5512	39.8162	5512	0.6529	98.5123	5430	884	882	0.6394	40	23.51
k127_111384 flag=0 multi=148.3629 len=6760	65.1494	6760	0.6444	100.0000	6760	1699	1723	0.6324	60	24.16
k127_126814 flag=0 multi=100.2273 len=2666	47.9149	2666	0.6377	100.0000	2666	537	496	0.6170	47	17.19
k127_129961 flag=0 multi=159.0000 len=1092	49.3205	1092	0.6419	100.0000	1092	214	219	0.6331	48	10.15
k127_130744 flag=0 multi=102.9065 len=3635	51.6256	3635	0.6380	100.0000	3635	699	738	0.6281	43	37.23
k127_142440 flag=1 multi=117.1549 len=3723	51.4118	3723	0.6317	100.0000	3723	776	736	0.6191	52	16.98
k127_143562 flag=0 multi=150.0430 len=4731	35.5405	4731	0.6102	100.0000	4731	575	575	0.5921	33	15.30
k127_144406 flag=0 multi=130.0180 len=1237	53.2943	1237	0.5893	100.0000	1237	258	246	0.5923	55	25.62
k127_145390 flag=1 multi=73.7465 len=1855	24.5520	1855	0.5941	87.5472	1624	182	171	0.5834	21	18.05
k127_149150 flag=0 multi=67.0000 len=1753	83.2453	1753	0.6389	100.0000	1753	568	559	0.6248	87	27.86
k127_150136 flag=0 multi=70.2634 len=1038	81.5145	1038	0.6618	91.0405	945	329	357	0.6295	57	69.12
k127_157269 flag=0 multi=78.3211 len=1301	36.8839	1301	0.6042	98.2321	1278	193	200	0.6037	44	21.85
k127_160339 flag=1 multi=84.9103 len=1008	29.1190	1008	0.6022	95.9325	967	115	109	0.6026	32	17.26
k127_166973 flag=1 multi=105.0000 len=1188	42.3350	1188	0.6263	100.0000	1188	198	202	0.6217	41	23.61
k127_171090 flag=0 multi=80.6583 len=9046	32.4737	9046	0.6145	100.0000	9046	1118	1147	0.6027	32	15.07
k127_176131 flag=0 multi=131.3772 len=1792	54.3739	1792	0.6116	100.0000	1792	380	381	0.6021	55	15.30
k127_180550 flag=1 multi=137.2748 len=2951	33.7835	2951	0.6344	100.0000	2951	389	384	0.6220	33	13.56
k127_182661 flag=0 multi=97.0944 len=2754	45.1932	2754	0.6184	99.9637	2753	499	467	0.6043	45	13.74
k127_184176 flag=1 multi=167.0000 len=1165	44.4009	1165	0.6386	100.0000	1165	208	202	0.6290	41	15.50
k127_189940 flag=1 multi=54.3094 len=1378	25.4224	1378	0.6197	99.6372	1373	136	135	0.6082	24	9.39
k127_191292 flag=1 multi=84.0000 len=1821	51.4250	1821	0.6178	97.0346	1767	364	386	0.6245	32	50.16
k127_195295 flag=1 multi=124.4884 len=3014	31.3885	3014	0.6009	100.0000	3014	374	374	0.5827	29	11.03
k127_197537 flag=0 multi=156.6007 len=1552	56.9620	1552	0.6289	100.0000	1552	335	343	0.6167	47	30.32
k127_199316 flag=0 multi=86.9284 len=2656	46.5474	2656	0.6461	100.0000	2656	463	486	0.6318	46	10.89
k127_209029 flag=0 multi=113.3507 len=1878	34.8898	1878	0.6070	100.0000	1878	246	239	0.5924	36	9.10
k127_209430 flag=0 multi=126.8617 len=1963	45.4412	1963	0.6490	100.0000	1963	344	356	0.6290	44	12.68
k127_217725 flag=1 multi=156.7216 len=3335	39.9676	3335	0.6042	100.0000	3335	514	513	0.6003	35	18.51
k127_223065 flag=0 multi=173.3590 len=7570	60.8600	7570	0.6347	99.1942	7509	1775	1803	0.6184	57	28.46
k127_224832 flag=0 multi=76.8761 len=4357	43.8414	4357	0.6224	100.0000	4357	739	749	0.6056	43	19.57
k127_225526 flag=0 multi=82.5041 len=2910	54.5134	2910	0.6395	100.0000	2910	629	638	0.6235	55	21.27
k127_232734 flag=0 multi=101.1261 len=2633	45.2328	2633	0.6510	100.0000	2633	480	474	0.6328	45	13.67
k127_243820 flag=1 multi=143.5427 len=4378	37.5745	4378	0.5861	100.0000	4378	620	626	0.5796	36	18.02
k127_243889 flag=1 multi=90.5390 len=1717	36.2691	1717	0.6220	100.0000	1717	227	243	0.6138	34	20.43
k127_254421 flag=0 multi=107.1701 len=1373	10.3358	1373	0.6264	86.0889	1182	60	55	0.6186	11	6.26
k127_255799 flag=1 multi=62.0000 len=1052	26.4373	1052	0.5998	100.0000	1052	109	111	0.5940	28	8.16
k127_262140 flag=1 multi=38.6742 len=1146	23.0515	1146	0.6230	100.0000	1146	105	110	0.6085	27	9.93
k127_267785 flag=0 multi=55.9258 len=1649	58.3347	1649	0.6313	100.0000	1649	383	376	0.6277	58	23.02
k127_268343 flag=1 multi=83.1813 len=1616	34.5755	1616	0.6281	100.0000	1616	223	219	0.6085	33	14.16
k127_277340 flag=1 multi=149.9981 len=1207	23.9196	1207	0.6321	100.0000	1207	111	114	0.6138	23	9.52
k127_278673 flag=0 multi=154.9746 len=3232	47.6380	3232	0.6247	100.0000	3232	600	596	0.6052	22	42.01
k127_284816 flag=1 multi=92.4289 len=4799	60.2934	4799	0.6278	100.0000	4799	1143	1129	0.6175	57	22.41
k127_290245 flag=1 multi=73.1175 len=1582	25.7946	1582	0.6340	99.8736	1580	158	168	0.6235	25	10.08
k127_290989 flag=0 multi=150.8281 len=1890	44.7339	1890	0.6254	98.8889	1869	333	335	0.6002	43	22.44
k127_296243 flag=0 multi=73.3927 len=1171	43.2904	1171	0.6447	100.0000	1171	200	203	0.6312	45	12.90
k127_301392 flag=0 multi=129.4402 len=1456	40.4918	1456	0.6250	100.0000	1456	221	230	0.6062	36	18.40
k127_306749 flag=0 multi=81.1765 len=1079	94.8647	1079	0.6358	100.0000	1079	400	408	0.6267	101	26.87
k127_308454 flag=1 multi=83.6336 len=8079	41.6680	8079	0.6019	99.3811	8029	1331	1320	0.6148	34	25.44
k127_318657 flag=0 multi=80.2152 len=1986	71.7492	1986	0.6344	100.0000	1986	546	564	0.6143	71	21.68
k127_328552 flag=0 multi=102.8510 len=8227	33.6710	8227	0.6000	100.0000	8227	1073	1073	0.5808	31	14.01
k127_330347 flag=0 multi=146.0000 len=3227	62.2702	3227	0.6601	100.0000	3227	780	793	0.6483	61	21.24
k127_331419 flag=0 multi=130.0000 len=1246	57.9631	1246	0.6461	100.0000	1246	290	294	0.6055	48	37.91
k127_340999 flag=0 multi=106.0823 len=1985	24.3355	1985	0.6060	90.5793	1798	196	182	0.6013	26	17.19
k127_358058 flag=0 multi=190.3101 len=3339	35.7880	3339	0.6235	94.7889	3165	457	487	0.6129	35	20.31
k127_370837 flag=0 multi=135.5851 len=2202	37.0513	2202	0.5908	100.0000	2202	314	314	0.5756	31	16.96
k127_372549 flag=0 multi=108.0000 len=1406	34.5327	1406	0.6152	100.0000	1406	192	184	0.6050	28	15.63
k127_375641 flag=0 multi=129.4392 len=3649	28.6440	3649	0.6081	100.0000	3649	418	427	0.5856	25	20.38
k127_379593 flag=0 multi=104.2115 len=1763	44.7890	1763	0.6381	100.0000	1763	318	323	0.6184	45	14.34
k127_381964 flag=0 multi=109.1009 len=2010	50.0179	2010	0.6070	100.0000	2010	386	377	0.5929	52	17.84
k127_383275 flag=0 multi=142.5800 len=2034	41.5295	2034	0.6042	100.0000	2034	322	334	0.5965	38	21.04
k127_383706 flag=0 multi=114.3017 len=1002	49.7754	1002	0.5998	100.0000	1002	195	194	0.5909	53	16.90
k127_386841 flag=0 multi=250.1407 len=1968	34.0605	1968	0.6362	100.0000	1968	274	267	0.6264	33	20.54
k127_389746 flag=0 multi=172.0000 len=1180	26.6534	1180	0.6169	100.0000	1180	128	127	0.5996	28	9.21
k127_408798 flag=1 multi=242.6688 len=2310	58.7043	2310	0.6104	100.0000	2310	516	519	0.6128	65	37.44
k127_422979 flag=0 multi=114.0316 len=2845	51.1381	2845	0.6095	100.0000	2845	558	552	0.6047	46	24.59
k127_430725 flag=0 multi=132.2573 len=1779	42.6346	1779	0.6318	100.0000	1779	295	304	0.6197	36	18.07
k127_431591 flag=0 multi=188.3080 len=4634	48.9702	4634	0.6437	100.0000	4634	887	894	0.6307	48	20.61
k127_437131 flag=0 multi=131.3791 len=2026	45.6096	2026	0.6471	100.0000	2026	378	374	0.6331	44	13.26
k127_439171 flag=0 multi=76.0000 len=2423	36.9761	2423	0.6335	100.0000	2423	348	349	0.6194	38	12.66
k127_447155 flag=0 multi=106.0654 len=1687	64.7386	1687	0.6135	100.0000	1687	434	431	0.6107	70	38.46
k127_448827 flag=0 multi=172.1346 len=1791	43.7152	1791	0.6505	100.0000	1791	311	314	0.6300	46	14.67
k127_451056 flag=0 multi=118.8752 len=3678	57.9734	3678	0.6286	100.0000	3678	830	866	0.6108	53	25.59
k127_458364 flag=0 multi=85.0521 len=1893	53.2472	1893	0.6265	100.0000	1893	389	386	0.6142	54	18.34
k127_459623 flag=0 multi=73.8756 len=1132	59.9178	1132	0.6237	100.0000	1132	265	265	0.6084	54	28.45
k127_463867 flag=0 multi=148.0000 len=1347	44.3252	1347	0.6273	100.0000	1347	235	258	0.6132	40	15.54
k127_464873 flag=1 multi=127.0000 len=1650	46.3061	1650	0.6067	100.0000	1650	286	308	0.6019	43	16.79
k127_468105 flag=0 multi=127.7966 len=4159	43.1998	4159	0.6487	100.0000	4159	717	735	0.6319	40	19.78
k127_474725 flag=0 multi=90.1748 len=1878	44.9239	1878	0.6187	100.0000	1878	346	338	0.6087	44	18.41
k127_491673 flag=0 multi=81.9377 len=2761	47.1938	2761	0.6360	100.0000	2761	522	506	0.6280	47	13.14
k127_493254 flag=1 multi=135.6010 len=1771	55.3484	1771	0.6228	100.0000	1771	381	397	0.6067	56	16.52
k127_493399 flag=0 multi=101.0675 len=1638	40.2680	1638	0.6325	100.0000	1638	273	263	0.6090	30	25.12
k127_498339 flag=0 multi=161.8777 len=2867	40.3889	2867	0.6191	100.0000	2867	463	431	0.6152	37	18.57
k127_498603 flag=1 multi=162.6302 len=2201	53.9187	2201	0.6025	99.9546	2200	468	452	0.6078	47	36.53
k127_499225 flag=0 multi=177.7025 len=2134	50.9485	2134	0.6082	100.0000	2134	420	453	0.5848	52	23.79
k127_505161 flag=0 multi=54.4991 len=1269	39.5469	1269	0.6162	100.0000	1269	199	187	0.6100	37	15.17
k127_507642 flag=0 multi=147.3194 len=2801	46.6258	2801	0.6366	100.0000	2801	503	514	0.6271	43	21.28
k127_520242 flag=0 multi=121.6626 len=12834	39.5776	12834	0.6209	100.0000	12834	1992	1970	0.6072	36	20.72
k127_527506 flag=0 multi=47.8213 len=1134	35.1975	1134	0.6120	100.0000	1134	157	147	0.5992	29	20.00
k127_545920 flag=0 multi=115.0952 len=1450	50.7110	1450	0.6462	100.0000	1450	284	297	0.6219	49	16.33
k127_546650 flag=0 multi=99.1467 len=1988	43.5030	1988	0.6258	100.0000	1988	336	352	0.6066	43	20.41
k127_546799 flag=0 multi=112.1807 len=2429	42.4825	2429	0.6196	100.0000	2429	416	416	0.6046	42	14.52
k127_548092 flag=0 multi=123.4547 len=2700	48.9011	2700	0.6493	100.0000	2700	525	536	0.6363	49	21.36
k127_550096 flag=1 multi=139.9753 len=2233	37.3681	2233	0.6220	100.0000	2233	326	340	0.6136	41	13.67
k127_554637 flag=0 multi=86.0337 len=3277	41.3348	3277	0.5886	100.0000	3277	510	527	0.5828	42	12.66
k127_554682 flag=1 multi=35.0000 len=1181	50.7375	1181	0.6190	100.0000	1181	235	222	0.6146	50	18.45
k127_556328 flag=0 multi=59.0586 len=1117	28.5551	1117	0.6007	100.0000	1117	114	144	0.5773	27	6.27
k127_557350 flag=0 multi=93.6044 len=3517	44.3028	3517	0.6352	100.0000	3517	612	604	0.6285	43	19.71
k127_558723 flag=0 multi=102.0000 len=2147	37.1775	2147	0.6171	100.0000	2147	321	315	0.6052	37	15.74
k127_562292 flag=1 multi=43.2975 len=2399	41.5986	2399	0.6311	100.0000	2399	390	388	0.6176	40	20.51
k127_567670 flag=0 multi=91.1913 len=2244	52.0940	2244	0.6381	100.0000	2244	453	441	0.6196	53	12.35
k127_570572 flag=1 multi=91.8822 len=1630	89.1951	1630	0.6442	100.0000	1630	547	574	0.6255	52	77.31
k127_571981 flag=1 multi=50.0000 len=1320	29.8545	1320	0.6242	100.0000	1320	156	147	0.6048	29	11.53
k127_576926 flag=0 multi=126.8208 len=2549	53.1750	2549	0.6269	100.0000	2549	544	544	0.6053	53	21.21
k127_582994 flag=1 multi=322.3905 len=1538	108.4012	1538	0.6365	100.0000	1538	633	615	0.6188	107	63.06
k127_587325 flag=0 multi=143.4811 len=1900	50.0679	1900	0.6400	100.0000	1900	374	370	0.6246	50	17.53
k127_590107 flag=1 multi=56.6034 len=1877	36.5647	1877	0.6004	100.0000	1877	274	267	0.5979	33	15.54
k127_595386 flag=1 multi=54.0000 len=1772	50.5892	1772	0.6163	100.0000	1772	337	345	0.6026	53	14.86
k127_595897 flag=0 multi=118.2534 len=5269	38.7848	5269	0.6138	100.0000	5269	800	807	0.6027	33	19.99
k127_598342 flag=1 multi=84.0000 len=1344	33.5417	1344	0.6109	100.0000	1344	181	178	0.6036	36	10.41
k127_605584 flag=1 multi=64.5312 len=2674	29.2319	2674	0.6215	100.0000	2674	313	316	0.6117	27	11.47
k127_606138 flag=0 multi=137.9388 len=3021	63.1159	3021	0.6273	100.0000	3021	730	771	0.6120	62	24.02
k127_618504 flag=0 multi=46.9891 len=1047	51.3419	1047	0.6170	100.0000	1047	219	212	0.5961	41	26.29
k127_619229 flag=0 multi=245.9861 len=3072	30.8532	3072	0.6191	100.0000	3072	365	359	0.6106	28	16.00
k127_621679 flag=0 multi=144.2826 len=1546	39.7613	1546	0.6248	100.0000	1546	256	249	0.6163	32	30.36
k127_623704 flag=0 multi=96.4974 len=2650	55.0536	2650	0.6468	100.0000	2650	573	584	0.6371	47	22.04
k127_624424 flag=0 multi=95.3074 len=7592	39.8882	7592	0.6071	100.0000	7592	1170	1177	0.6002	36	16.46
k127_624673 flag=0 multi=88.0000 len=2879	0.1018	2879	0.6190	5.3491	154	1	1	0.6655	0	0.43
k127_624992 flag=1 multi=61.2700 len=1349	47.5723	1349	0.6197	100.0000	1349	248	242	0.5992	49	14.41
k127_626011 flag=1 multi=120.0000 len=2141	58.0532	2141	0.6193	100.0000	2141	496	510	0.6197	52	26.70
k127_626983 flag=0 multi=74.0000 len=1953	70.8643	1953	0.5960	100.0000	1953	526	534	0.5919	61	31.67
k127_627275 flag=0 multi=155.6082 len=2179	45.5443	2179	0.6306	100.0000	2179	392	400	0.6206	47	12.68
k127_627984 flag=0 multi=245.3894 len=1239	43.6077	1239	0.5989	100.0000	1239	211	217	0.5826	46	10.55
k127_632570 flag=0 multi=155.8008 len=1121	83.4121	1121	0.6307	100.0000	1121	375	362	0.6201	69	53.91
k127_636949 flag=0 multi=93.3787 len=1529	46.8633	1529	0.6449	100.0000	1529	296	304	0.6247	41	17.31
k127_645175 flag=0 multi=104.0754 len=1135	40.1648	1135	0.6123	100.0000	1135	176	188	0.6157	44	12.78
k127_655372 flag=0 multi=98.6041 len=4603	26.1983	4603	0.6027	100.0000	4603	462	464	0.5949	26	8.49
k127_658601 flag=0 multi=114.1360 len=1487	40.4371	1487	0.6261	100.0000	1487	235	230	0.6067	44	17.76
k127_661128 flag=1 multi=69.0000 len=2062	50.2221	2062	0.6183	100.0000	2062	409	400	0.6162	50	18.17
k127_670170 flag=0 multi=150.8704 len=2009	34.6366	2009	0.6103	100.0000	2009	271	267	0.5990	35	10.29
k127_675398 flag=0 multi=202.0000 len=1624	58.0628	1624	0.6299	100.0000	1624	370	386	0.6246	63	28.35
k127_679048 flag=0 multi=61.2318 len=3104	66.4494	3104	0.6360	100.0000	3104	759	791	0.6185	67	28.98
k127_680185 flag=0 multi=142.0916 len=1502	66.0586	1502	0.6298	100.0000	1502	382	396	0.6208	70	18.59
k127_680326 flag=0 multi=122.7651 len=1813	48.9338	1813	0.6354	96.1390	1743	329	353	0.6179	54	24.04
k127_680336 flag=0 multi=86.0227 len=1755	78.3134	1755	0.6319	100.0000	1755	530	551	0.6174	78	27.56
k127_681680 flag=0 multi=130.2593 len=1909	25.3091	1909	0.6338	100.0000	1909	205	200	0.6217	23	9.80
k127_682636 flag=0 multi=113.0793 len=1879	58.8430	1879	0.6658	100.0000	1879	426	441	0.6445	57	17.59
k127_687248 flag=0 multi=151.8479 len=1869	66.6758	1869	0.6351	100.0000	1869	477	494	0.6155	68	24.05
k127_688139 flag=0 multi=129.2726 len=1499	17.0454	1499	0.6231	100.0000	1499	103	106	0.6109	17	5.00
k127_690752 flag=1 multi=90.0823 len=3762	58.9577	3762	0.6358	100.0000	3762	859	884	0.6219	59	20.84
k127_690922 flag=1 multi=138.9709 len=4690	52.7759	4690	0.6412	100.0000	4690	954	995	0.6243	52	18.86
k127_691799 flag=0 multi=117.2523 len=1903	39.4735	1903	0.6201	100.0000	1903	284	285	0.5906	31	38.34
k127_693114 flag=0 multi=93.0000 len=1687	48.4558	1687	0.6402	100.0000	1687	332	331	0.6276	46	12.75
k127_693300 flag=0 multi=85.9147 len=1780	49.1146	1780	0.6719	100.0000	1780	353	368	0.6462	49	16.01
k127_695021 flag=0 multi=183.1443 len=1132	51.5044	1132	0.6078	100.0000	1132	228	223	0.5866	53	15.25
k127_700657 flag=0 multi=63.7385 len=1668	32.3831	1668	0.6271	100.0000	1668	215	213	0.6105	35	17.02
k127_702677 flag=0 multi=146.3145 len=3402	48.1361	3402	0.6158	97.0312	3301	621	632	0.6010	47	19.22
k127_703791 flag=0 multi=182.4812 len=1563	57.2297	1563	0.6488	100.0000	1563	345	358	0.6309	57	15.58
k127_703895 flag=0 multi=96.4124 len=1725	72.6777	1725	0.6249	100.0000	1725	484	509	0.6039	76	29.30
k127_710865 flag=0 multi=123.1162 len=5806	36.3050	5806	0.5863	100.0000	5806	837	833	0.5718	36	14.42
k127_717730 flag=0 multi=117.5476 len=1639	46.3246	1639	0.6229	100.0000	1639	298	287	0.6127	46	17.84
k127_725430 flag=0 multi=132.2089 len=1223	23.3949	1223	0.6312	100.0000	1223	112	123	0.6197	23	10.56
k127_726202 flag=0 multi=180.1564 len=4008	45.0886	4008	0.5863	100.0000	4008	696	693	0.5848	41	19.06
k127_726326 flag=0 multi=113.7874 len=3519	65.2038	3519	0.6232	100.0000	3519	947	926	0.6121	52	42.98
k127_728692 flag=0 multi=92.0000 len=2000	33.3250	2000	0.6245	100.0000	2000	259	269	0.6119	29	16.63
k127_732182 flag=1 multi=61.0000 len=1117	55.6285	1117	0.6186	100.0000	1117	286	223	0.6131	59	13.00
k127_736515 flag=0 multi=78.9971 len=2227	35.0615	2227	0.6111	93.1747	2075	312	312	0.6098	39	18.69
k127_738481 flag=0 multi=141.2542 len=1327	52.3904	1327	0.6270	99.3218	1318	286	282	0.6254	54	28.90
k127_740742 flag=1 multi=42.6028 len=1562	47.5813	1562	0.6504	100.0000	1562	290	277	0.6312	49	20.79
k127_752663 flag=0 multi=74.6525 len=1563	80.7831	1563	0.6353	100.0000	1563	497	492	0.6226	82	19.31
k127_755694 flag=0 multi=134.7109 len=3126	53.5697	3126	0.6497	100.0000	3126	644	667	0.6299	49	26.59
k127_756667 flag=0 multi=149.2286 len=5136	57.5253	5136	0.6526	100.0000	5136	1206	1203	0.6384	52	28.18
k127_760330 flag=1 multi=111.0483 len=3872	42.3856	3872	0.6317	99.8450	3866	637	634	0.6237	46	18.37
k127_766884 flag=0 multi=118.4358 len=2199	31.3975	2199	0.6303	99.7726	2194	271	265	0.6129	30	11.00
k127_770583 flag=0 multi=90.2646 len=30194	27.2729	30194	0.5944	100.0000	30194	3137	3116	0.5780	27	8.93
k127_773955 flag=1 multi=78.0000 len=1978	47.7690	1978	0.6325	100.0000	1978	345	366	0.6247	43	26.15
k127_775542 flag=0 multi=125.0000 len=1249	73.9656	1249	0.6277	100.0000	1249	348	361	0.6172	77	44.25
k127_776270 flag=0 multi=109.0000 len=2847	27.9891	2847	0.6298	100.0000	2847	307	321	0.6176	28	8.21
k127_776833 flag=0 multi=76.0239 len=2639	45.8704	2639	0.6430	100.0000	2639	484	480	0.6243	46	13.42
k127_778601 flag=1 multi=233.7331 len=3139	47.0500	3139	0.6505	100.0000	3139	596	596	0.6393	41	22.34
k127_779227 flag=0 multi=181.8630 len=3615	31.7328	3615	0.5895	100.0000	3615	444	445	0.5766	18	25.56
k127_783063 flag=0 multi=88.8195 len=1844	51.6264	1844	0.6285	100.0000	1844	370	373	0.6237	54	17.99
k127_793245 flag=0 multi=198.5563 len=2577	48.5817	2577	0.6585	100.0000	2577	514	520	0.6392	44	18.04
k127_801939 flag=0 multi=70.0000 len=1102	1.4819	1102	0.6325	62.7949	692	5	9	0.5780	1	1.68
k127_804089 flag=0 multi=103.1815 len=2111	54.1975	2111	0.6258	99.9526	2110	462	453	0.6251	54	22.22
k127_805660 flag=0 multi=214.1163 len=1296	58.8364	1296	0.6250	100.0000	1296	293	298	0.6054	59	17.82
k127_808133 flag=1 multi=66.0719 len=2311	31.3315	2311	0.6274	100.0000	2311	263	274	0.6244	30	13.59
k127_808381 flag=0 multi=121.7470 len=1965	52.3659	1965	0.6132	100.0000	1965	416	394	0.5986	49	16.83
k127_821570 flag=0 multi=94.0671 len=2988	43.0425	2988	0.6091	100.0000	2988	502	500	0.5907	42	14.29
k127_826612 flag=0 multi=247.8138 len=1083	46.0729	1083	0.6574	100.0000	1083	204	205	0.6353	45	18.29
k127_839864 flag=0 multi=110.5501 len=1405	61.8968	1405	0.6619	100.0000	1405	330	348	0.6443	64	27.05
k127_841564 flag=0 multi=150.3268 len=1813	50.0000	1813	0.6580	100.0000	1813	350	363	0.6368	51	18.54
k127_842468 flag=0 multi=79.0416 len=1065	44.2469	1065	0.6272	98.1221	1045	179	184	0.6171	46	20.18
k127_851272 flag=0 multi=103.0769 len=1220	34.0008	1220	0.5918	100.0000	1220	166	174	0.5772	34	9.23
k127_867617 flag=0 multi=89.0000 len=1580	32.2335	1580	0.6241	100.0000	1580	207	214	0.6088	38	15.42
k127_870897 flag=1 multi=165.9814 len=3079	49.1608	3079	0.6155	100.0000	3079	578	614	0.6073	51	21.68
k127_872325 flag=0 multi=69.2259 len=1393	58.8040	1393	0.6195	100.0000	1393	324	328	0.6093	57	21.65
k127_876991 flag=0 multi=112.9758 len=1203	49.0224	1203	0.6251	100.0000	1203	246	243	0.6191	45	32.34
k127_880786 flag=0 multi=144.8940 len=2014	22.6480	2014	0.6177	100.0000	2014	181	182	0.6111	20	8.80
k127_882255 flag=1 multi=96.0616 len=5776	47.1416	5776	0.6352	100.0000	5776	1042	1072	0.6136	46	21.07
k127_896853 flag=0 multi=121.0000 len=1455	39.5058	1455	0.6096	100.0000	1455	224	227	0.5848	37	19.26
k127_921784 flag=0 multi=126.2046 len=3534	46.5846	3534	0.6537	100.0000	3534	668	655	0.6331	45	14.10
k127_924272 flag=1 multi=112.4444 len=1837	46.9766	1837	0.6173	99.8367	1834	327	325	0.6017	48	21.89
k127_926052 flag=0 multi=98.5162 len=2529	49.9055	2529	0.6354	100.0000	2529	514	503	0.6248	50	20.11
k127_928270 flag=1 multi=107.5856 len=4234	37.8496	4234	0.6287	100.0000	4234	621	625	0.6107	37	20.43
k127_929098 flag=0 multi=321.2071 len=3101	60.4973	3101	0.5940	100.0000	3101	763	786	0.5699	55	50.26
k127_931060 flag=0 multi=39.8378 len=2124	31.1977	2124	0.5993	100.0000	2124	255	269	0.5818	27	14.69
